model,materi,ukuran,total
D01,OB4'' + LSK,900,6
D01,OB4'' + LSK,2300,24
D01,PANEL,820,24
D01,PANEL,2260,24
D02,OB4'' + LSK,800,3
D02,OB4'' + LSK,2300,12
D02,PANEL,720,12
D02,PANEL,2260,12
D04,OB4'' + LSK,2075,1
D04,OB4'' + LSK,2300,4
D04,PANEL,1002,8
D04,PANEL,2265,8
SD01,1/2M + TUTUP,956,2
SD01,AMBANG ATAS,1016,2
SD01,AMBANG BAWAH,1016,2
SD01,M4'',2300,4
SD01,M4'' + TUTUP GOT,3875,1
SD01,OB4'' + TUTUP M,2265,2
SD01,TIANG MOHER DEPAN,2265,2
SD01,TIANG MOHER SAMPING,2265,2
SD02,1/2M + TUTUP,1145,3
SD02,AMBANG ATAS,1206,3
SD02,AMBANG BAWAH,1206,3
SD02,M4'',2300,3
SD02,M4'' + TUTUP GOT,2300,3
SD02,M4'' + TUTUP GOT,2350,3
SD02,OB4'' + TUTUP M,2265,3
SD02,TIANG MOHER DEPAN,2265,3
SD02,TIANG MOHER SAMPING,2265,3
SD03,1/2M + TUTUP,895,2
SD03,AMBANG ATAS,955,2
SD03,AMBANG BAWAH,955,2
SD03,M4'',2300,2
SD03,M4'' + TUTUP GOT,1850,2
SD03,M4'' + TUTUP GOT,2300,2
SD03,OB4'' + TUTUP M,2265,2
SD03,TIANG MOHER DEPAN,2265,2
SD03,TIANG MOHER SAMPING,2265,2
SD04,1/2M + TUTUP,1082,1
SD04,AMBANG ATAS,1142,1
SD04,AMBANG BAWAH,1142,1
SD04,M4'',2300,1
SD04,M4'' + TUTUP GOT,2225,1
SD04,M4'' + TUTUP GOT,2300,1
SD04,OB4'' + TUTUP M,2265,1
SD04,TIANG MOHER DEPAN,2265,1
SD04,TIANG MOHER SAMPING,2265,1
SD05,1/2M + TUTUP,1245,2
SD05,AMBANG ATAS,1305,2
SD05,AMBANG BAWAH,1305,2
SD05,M4'',2300,2
SD05,M4'' + TUTUP GOT,2300,2
SD05,M4'' + TUTUP GOT,2550,2
SD05,OB4'' + TUTUP M,2265,2
SD05,TIANG MOHER DEPAN,2265,2
SD05,TIANG MOHER SAMPING,2265,2
SD06,1/2M + TUTUP,1170,1
SD06,AMBANG ATAS,1230,1
SD06,AMBANG BAWAH,1230,1
SD06,M4'',2300,1
SD06,M4'' + TUTUP GOT,2300,1
SD06,M4'' + TUTUP GOT,2400,1
SD06,OB4'' + TUTUP M,2265,1
SD06,TIANG MOHER DEPAN,2265,1
SD06,TIANG MOHER SAMPING,2265,1
SD07,1/2M + TUTUP,925,8
SD07,AMBANG ATAS,985,2
SD07,AMBANG BAWAH,985,2
SD07,M4'',2300,4
SD07,M4'' + TUTUP GOT,5500,1
SD07,M4'' + TUTUP M,2300,2
SD07,OB4'' + TUTUP M,2265,2
SD07,TIANG MOHER DEPAN,2265,2
SD07,TIANG MOHER SAMPING,2265,2
SD08,1/2M + TUTUP,925,2
SD08,1/2M + TUTUP,1100,2
SD08,AMBANG ATAS,985,2
SD08,AMBANG BAWAH,985,2
SD08,M4'',2300,4
SD08,M4'' + TUTUP GOT,5850,1
SD08,M4'' + TUTUP M,2300,2
SD08,OB4'' + TUTUP M,2265,2
SD08,TIANG MOHER DEPAN,2265,2
SD08,TIANG MOHER SAMPING,2265,2
SD09,1/2M + TUTUP,1100,2
SD09,1/2M + TUTUP,1205,1
SD09,AMBANG ATAS,1230,1
SD09,AMBANG BAWAH,1230,1
SD09,M4'',2300,1
SD09,M4'' + TUTUP GOT,2300,1
SD09,M4'' + TUTUP GOT,4500,1
SD09,M4'' + TUTUP M,2300,2
SD09,OB4'' + TUTUP M,2265,1
SD09,TIANG MOHER DEPAN,2265,1
SD09,TIANG MOHER SAMPING,2265,1
SD10,1/2M + TUTUP,1167,3
SD10,1/2M + TUTUP,1205,1
SD10,AMBANG ATAS,1230,1
SD10,AMBANG BAWAH,1230,1
SD10,M4'',2300,1
SD10,M4'' + TUTUP GOT,2300,1
SD10,M4'' + TUTUP GOT,5750,1
SD10,M4'' + TUTUP M,2300,3
SD10,OB4'' + TUTUP M,2265,1
SD10,TIANG MOHER DEPAN,2265,1
SD10,TIANG MOHER SAMPING,2265,1
W01,AMBANG ATAS,1332,5
W01,AMBANG ATAS,1392,5
W01,AMBANG BAWAH,1332,5
W01,AMBANG BAWAH,1392,5
W01,OB4'' + BELL ATAS,2725,5
W01,OB4'' + BELL BAWAH,2725,5
W01,OB4'' + TATAPAN,1500,20
W01,T KAIT,1430,5
W01,T SLIDE,1430,20
W02,AMBANG ATAS,970,1
W02,AMBANG ATAS,1030,1
W02,AMBANG BAWAH,970,1
W02,AMBANG BAWAH,1030,1
W02,OB4'' + BELL ATAS,2000,1
W02,OB4'' + BELL BAWAH,2000,1
W02,OB4'' + TATAPAN,1500,4
W02,T KAIT,1430,1
W02,T SLIDE,1430,4
W03,AMBANG ATAS,1007,1
W03,AMBANG ATAS,1067,1
W03,AMBANG BAWAH,1007,1
W03,AMBANG BAWAH,1067,1
W03,OB4'' + BELL ATAS,2075,1
W03,OB4'' + BELL BAWAH,2075,1
W03,OB4'' + TATAPAN,1500,4
W03,T KAIT,1430,1
W03,T SLIDE,1430,4
W04,AMBANG ATAS,670,5
W04,AMBANG ATAS,730,5
W04,AMBANG BAWAH,670,5
W04,AMBANG BAWAH,730,5
W04,OB4'' + BELL ATAS,1400,5
W04,OB4'' + BELL BAWAH,1400,5
W04,OB4'' + TATAPAN,1500,20
W04,T KAIT,1430,5
W04,T SLIDE,1430,20
W05,AMBANG ATAS,832,3
W05,AMBANG ATAS,892,3
W05,AMBANG BAWAH,832,3
W05,AMBANG BAWAH,892,3
W05,OB4'' + BELL ATAS,1725,3
W05,OB4'' + BELL BAWAH,1725,3
W05,OB4'' + TATAPAN,600,12
W05,T KAIT,530,3
W05,T SLIDE,530,12
W06,AMBANG ATAS,695,1
W06,AMBANG ATAS,755,1
W06,AMBANG BAWAH,695,1
W06,AMBANG BAWAH,755,1
W06,OB4'' + BELL ATAS,1450,1
W06,OB4'' + BELL BAWAH,1450,1
W06,OB4'' + TATAPAN,600,4
W06,T KAIT,530,1
W06,T SLIDE,530,4
W07,AMBANG ATAS,1370,1
W07,AMBANG ATAS,1430,1
W07,AMBANG BAWAH,1370,1
W07,AMBANG BAWAH,1430,1
W07,OB4'' + BELL ATAS,2800,1
W07,OB4'' + BELL BAWAH,2800,1
W07,OB4'' + TATAPAN,600,4
W07,T KAIT,530,1
W07,T SLIDE,530,4
W08,AMBANG ATAS,1582,1
W08,AMBANG ATAS,1642,1
W08,AMBANG BAWAH,1582,1
W08,AMBANG BAWAH,1642,1
W08,OB4'' + BELL ATAS,3225,1
W08,OB4'' + BELL BAWAH,3225,1
W08,OB4'' + TATAPAN,600,4
W08,T KAIT,530,1
W08,T SLIDE,530,4
W09,1/2M + TUTUP,1225,1
W09,M4'',1225,1
W09,M4'',1500,4
W10,1/2M + TUTUP,1125,1
W10,M4'',1125,1
W10,M4'',1500,4
W11,AMBANG ATAS,1007,2
W11,AMBANG ATAS,1067,2
W11,AMBANG BAWAH,1007,2
W11,AMBANG BAWAH,1067,2
W11,OB4'' + BELL ATAS,4100,1
W11,OB4'' + BELL BAWAH,4100,1
W11,OB4'' + TATAPAN,1500,4
W11,OB4'' + TUTUP P,1500,1
W11,T KAIT,1430,2
W11,T SLIDE,1430,8
W12,AMBANG ATAS,951,2
W12,AMBANG ATAS,1011,2
W12,AMBANG BAWAH,951,2
W12,AMBANG BAWAH,1011,2
W12,OB4'' + BELL ATAS,3875,1
W12,OB4'' + BELL BAWAH,3875,1
W12,OB4'' + TATAPAN,1500,4
W12,OB4'' + TUTUP P,1500,1
W12,T KAIT,1430,2
W12,T SLIDE,1430,8
W13,1/2M + TUTUP,1388,2
W13,AMBANG ATAS,1332,1
W13,AMBANG ATAS,1392,1
W13,AMBANG BAWAH,1332,1
W13,AMBANG BAWAH,1392,1
W13,M4'' + TATAPAN,2300,4
W13,M4'' + TUTUP M,850,1
W13,OB4'' + BELL ATAS,2725,1
W13,OB4'' + TUTUP M + BELL BAWAH,2725,1
W13,T KAIT,1430,1
W13,T SLIDE,1430,4
W14,1/2M + TUTUP,1638,2
W14,AMBANG ATAS,1582,1
W14,AMBANG ATAS,1642,1
W14,AMBANG BAWAH,1582,1
W14,AMBANG BAWAH,1642,1
W14,M4'' + TATAPAN,2300,4
W14,M4'' + TUTUP M,850,1
W14,OB4'' + BELL ATAS,3225,1
W14,OB4'' + TUTUP M + BELL BAWAH,3225,1
